Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,32,80,1,32,10,512,0.692525,0.0014614998626708,0.0177809999999999,0.7117674998626708,0.382388,57.47378798901367,1391.9388785596018,657.5786768306571,949.537817162784,0.84375
Llama2-70B,32,80,1,32,10,640,0.69776,0.0014614998626708,0.0204209999999999,0.7196424998626709,0.382388,58.10378798901367,1376.8465494044294,658.6936900915989,944.01182368092,0.84375
Llama2-70B,32,80,1,32,10,768,0.706272,0.0014614998626708,0.0230609999999999,0.7307944998626709,0.382388,58.99594798901367,1356.025332704167,661.7466264558766,936.9571871118728,0.84375
Llama2-70B,32,80,1,32,10,896,0.714789,0.0014614998626708,0.025701,0.7419514998626708,0.382388,59.88850798901366,1335.8155460255534,664.4256989111719,929.5410238702218,0.84375
Llama2-70B,32,80,1,32,10,1024,0.723313,0.0014614998626708,0.0283409999999999,0.7531154998626708,0.382388,60.78162798901366,1316.187187589975,667.4801505861999,922.8095590514756,0.84375
Llama2-70B,32,80,1,32,10,1152,0.737081,0.0014614998626708,0.0309809999999999,0.7695234998626709,0.382388,62.09426798901367,1288.3636862287256,673.3329487663927,913.5128279882304,0.84375
Llama2-70B,32,80,1,32,10,1280,0.742316,0.0014614998626708,0.033621,0.7773984998626708,0.382388,62.72426798901367,1275.4234136939183,674.4437015717846,908.5668388823422,0.84375
Llama2-70B,32,80,1,32,10,1408,0.750828,0.0014614998626708,0.036261,0.7885504998626709,0.382388,63.61642798901367,1257.5368113062823,677.5008983916125,902.338349650802,0.84375
Llama2-70B,32,80,1,32,10,1536,0.759345,0.0014614998626708,0.038901,0.7997074998626709,0.382388,64.50898798901368,1240.13726604461,680.1757103913575,895.7400264588001,0.84375
Llama2-70B,32,80,1,32,10,1664,0.767869,0.0014614998626708,0.041541,0.8108714998626709,0.382388,65.40210798901369,1223.2021636586771,683.2344225219356,889.7799266827228,0.84375
